,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
219,V275,706,415,278,393,292,416.8
220,V276,689,378,243,326,314,390.0
221,V277,1301,867,525,676,493,772.4
222,V278,910,637,433,587,391,591.6
223,V279,616,528,408,440,382,474.8
224,V280,856,587,391,509,419,552.4
225,V282,2402,1772,1241,1256,1392,1612.6
226,V283,2840,1856,1264,1459,1356,1755.0
227,V285,1778,1426,1140,1225,1191,1352.0
228,V287,404,295,194,245,217,271.0
229,V288,507,286,213,220,319,309.0
230,V289,600,480,405,377,395,451.4
231,V291,1724,1254,910,955,836,1135.8
232,V292,685,466,290,347,285,414.6
233,V294,1334,1057,841,1116,885,1046.6
234,V303,190,126,84,138,77,123.0
235,V304,106,67,33,78,43,65.4
236,V306,2185,1307,699,997,866,1210.8
237,V307,6351,4313,2788,3610,3198,4052.0
238,V308,3151,1909,1154,1648,1427,1857.8
239,V310,5900,4170,2799,3569,3086,3904.8
240,V312,3213,2097,1476,1869,1601,2051.2
241,V313,6873,4276,2987,3747,3399,4256.4
242,V314,4949,3104,2283,2424,2265,3005.0
243,V315,5585,3257,2331,2807,2578,3311.6
244,V317,3193,1904,1301,1709,1397,1900.8
245,V322,93,68,63,58,69,70.2
246,V323,430,244,266,276,255,294.2
247,V324,182,125,129,144,125,141.0
248,V326,182,128,118,123,109,132.0
249,V329,188,109,99,104,76,115.2
250,V331,256,165,113,155,165,170.8
251,V332,521,368,242,325,296,350.4
252,V333,304,230,183,181,199,219.4
253,V335,381,238,178,189,185,234.2
254,V336,211,115,115,142,138,144.2
255,V338,380,276,240,241,195,266.4
256,id_01,3948,2473,1677,2107,1860,2413.0
257,id_02,5969,3834,2557,3123,2711,3638.8
258,id_03,1210,620,635,613,603,736.2
259,id_05,5201,3570,2480,2839,2591,3336.2
260,id_06,6412,4019,2718,3010,2952,3822.2
261,id_09,802,763,583,641,709,699.6
262,id_11,624,441,268,380,310,404.6
263,id_12,69,21,26,39,16,34.2
264,id_13,7468,4756,3084,3830,3001,4427.8
265,id_14,2062,1731,1184,1442,1223,1528.4
266,id_15,444,261,271,239,267,296.4
267,id_17,879,584,552,631,642,657.6
268,id_19,11523,7872,4901,5716,4835,6969.4
269,id_20,12555,8633,5769,6600,5566,7824.6
270,id_30,2463,1593,1203,1484,1313,1611.2
271,id_31,8043,5383,3248,3938,3271,4776.6
272,id_32,312,243,237,254,251,259.4
273,id_33,2365,1626,1245,1763,1297,1659.2
274,id_36,36,28,16,29,30,27.8
275,id_37,375,236,216,233,239,259.8
276,id_38,792,751,993,993,899,885.6
277,DeviceType,807,545,396,574,482,560.8
278,DeviceInfo,5695,3263,2171,2877,2278,3256.8
279,device_name,2782,1713,1178,1416,1240,1665.8
280,device_version,4435,2738,1840,2046,1943,2600.4
281,OS_id_30,310,256,262,261,269,271.6
282,version_id_30,2152,1537,1125,1411,1154,1475.8
283,browser_id_31,1203,749,569,705,623,769.8
284,version_id_31,6199,4488,2873,3366,2963,3977.8
285,screen_width,1322,908,700,975,734,927.8
286,screen_height,2371,1701,1343,1701,1390,1701.2
287,had_id,1,2,1,1,2,1.4
288,TransactionAmt_to_mean_card1,36313,19875,12000,16060,13562,19562.0
289,TransactionAmt_to_mean_card4,28523,16582,9887,13201,11370,15912.6
290,TransactionAmt_to_std_card1,42302,23892,14506,19526,16415,23328.2
291,TransactionAmt_to_std_card4,28771,16579,10274,13993,11778,16279.0
292,id_02_to_mean_card1,7759,4682,3252,4073,3566,4666.4
293,id_02_to_mean_card4,6978,4008,2576,3280,2782,3924.8
294,id_02_to_std_card1,8898,5238,3354,4122,3618,5046.0
295,id_02_to_std_card4,6486,4078,2695,3357,2935,3910.2
296,D15_to_mean_card1,16720,11173,7735,9498,8431,10711.4
297,D15_to_mean_card4,11355,7181,5148,6289,5881,7170.8
298,D15_to_std_card1,13879,9624,6645,7860,6972,8996.0
299,D15_to_std_card4,9499,6238,4494,5404,4861,6099.2
300,D15_to_mean_addr1,12472,8159,6164,7407,6886,8217.6
301,D15_to_std_addr1,9734,6527,4687,6023,5119,6418.0
302,TransactionAmt_Log,17262,9934,6714,7770,7312,9798.4
303,TransactionAmt_decimal,17863,9771,5908,7331,6496,9473.8
304,Transaction_day_of_week,16938,9679,5257,7122,6310,9061.2
305,Transaction_hour,26794,14913,8648,11287,9718,14272.0
306,id_02__id_20,6386,3613,2017,2692,2182,3378.0
307,id_02__D8,4307,2322,1425,1789,1505,2269.6
308,D11__DeviceInfo,8778,5878,3759,4392,3814,5324.2
309,DeviceInfo__P_emaildomain,13541,8260,5676,6756,6200,8086.6
310,P_emaildomain__C2,23766,15191,10546,12679,11362,14708.8
311,card2__dist1,29173,16878,11702,14197,12962,16982.4
312,card1__card5,42767,25264,16919,20405,19110,24893.0
313,card2__id_20,20992,12976,8507,10762,9440,12535.4
314,card5__P_emaildomain,25492,15039,9938,12082,10782,14666.6
315,addr1__card1,48326,29149,20145,25034,22497,29030.2
316,card1_count_full,48147,29765,20688,24736,22880,29243.2
317,card2_count_full,32264,20270,13870,16487,15229,19624.0
318,card3_count_full,1610,1101,869,1039,996,1123.0
319,card4_count_full,1987,1350,1012,1158,1236,1348.6
320,card5_count_full,9823,6146,4164,4695,4478,5861.2
321,card6_count_full,1455,1051,840,991,872,1041.8
322,id_36_count_full,86,97,27,92,54,71.2
323,id_01_count_dist,3099,1965,1304,1596,1514,1895.6
324,id_31_count_dist,8232,5231,3655,4419,3652,5037.8
325,id_33_count_dist,2634,1923,1445,1943,1715,1932.0
326,id_36_count_dist,63,59,31,40,35,45.6
327,P_emaildomain_bin,8574,5343,3559,4168,4132,5155.2
328,P_emaildomain_suffix,1660,1219,744,976,865,1092.8
329,R_emaildomain_bin,3801,2409,1767,2215,2079,2454.2
330,R_emaildomain_suffix,512,379,337,366,354,389.6
